year,week,avg_close_price,avg_open_price,total_volume
2008,42,2.6754000186920166,2.721499967575073,1595730000
2012,35,12.316399955749512,12.315999794006348,288792000
2013,15,13.275800132751465,13.114099884033203,254630000
2013,17,13.307399940490722,13.348500061035157,527780000
2013,52,20.057374477386475,20.158124923706055,157906000
2014,22,15.59137511253357,15.609500169754028,284276000
2016,39,41.10350036621094,40.825199890136716,404918000
2018,9,75.40079956054687,75.35910034179688,554032000
2019,12,88.85299987792969,88.42580108642578,603794000
2020,11,89.7490005493164,89.79570007324219,814544000
2020,15,101.18687629699707,100.2301254272461,390220000
2021,8,156.84860229492188,157.3384979248047,400278000
2021,20,161.85230102539063,162.2790985107422,319402000
2022,31,138.48800354003907,137.31400451660156,331869000
2022,39,115.07400207519531,114.91199951171875,297031100
2024,11,175.41600036621094,175.60799865722657,211721200
2024,37,182.59200134277344,180.78400268554688,167875500
2025,5,236.5919982910156,234.6320007324219,185238100
2025,13,200.83600158691405,201.75,185517800
1997,34,0.10614559948444366,0.10572920143604278,102480000
1997,39,0.21744779944419862,0.2155210018157959,810408000
1998,32,0.9163541913032531,0.9138540029525757,2121504000
2001,20,0.7049999952316284,0.7025000095367432,628632000
2003,4,1.076875001192093,1.076875001192093,913130000
2005,1,2.118000030517578,2.123800039291382,1135134000
2005,17,1.6283999919891357,1.6191999912261963,1450478000
2005,24,1.7603999853134156,1.7592000007629394,434596000
2010,18,6.519400024414063,6.587900066375733,997942000
2010,40,7.834799957275391,7.833199977874756,571354000
2011,32,9.935800170898437,9.911499977111816,853972000
2011,35,10.552199935913086,10.450899696350097,546780000
2013,19,12.959200286865235,12.908799934387208,281462000
2015,15,18.98839988708496,18.85880012512207,252156000
2015,27,21.73812484741211,21.819125175476074,173612000
2016,15,30.60559997558594,30.392100143432618,319470000
2016,20,35.047000122070315,35.02520065307617,415586000
2016,23,36.22669982910156,36.28239974975586,265134000
2016,32,38.47229995727539,38.4240005493164,180994000
2019,34,89.95320129394531,90.72999877929688,294038000
2020,12,90.54009857177735,89.53289947509765,993948000
2022,41,111.64199981689453,112.45599822998047,299106000
2025,34,226.81999816894532,226.57599487304688,161200000
1999,44,3.293750047683716,3.3793749809265137,1293800000
2001,50,0.5768999934196473,0.5862000107765197,972474000
2003,48,2.634124994277954,2.5787500143051147,745870000
2005,15,1.7052000284194946,1.7157000064849854,474776000
2006,2,2.2642000198364256,2.278700017929077,747538000
2008,27,3.6298750042915344,3.6742499470710754,573784000
2011,27,10.77999997138977,10.628375053405762,260912000
2012,29,11.048700141906739,10.962899971008301,314072000
2012,42,12.204599952697754,12.24020004272461,363344000
2015,7,18.77699966430664,18.669299697875978,281290000
2018,49,84.61349868774414,85.56750106811523,638446000
2019,51,89.22679901123047,89.20149993896484,358892000
2020,26,136.60079956054688,137.05130004882812,428732000
2022,22,122.43862533569336,121.1049976348877,470326000
2024,46,208.78800048828126,209.43799743652343,249823200
2000,26,1.8174999952316284,1.8006250143051148,1380546000
2000,36,2.224999964237213,2.23828125,738530000
2012,26,11.209600067138672,11.153800010681152,310896000
2016,35,38.5109001159668,38.51380081176758,190314000
2016,37,38.418000030517575,38.236000061035156,345962000
2023,22,122.31500053405762,122.35750007629395,252755100
2025,15,180.62200012207032,176.94399719238282,432738100
2006,9,1.8665999889373779,1.8616999626159667,764202000
2007,26,3.4158000469207765,3.42330002784729,843660000
2009,47,6.527799987792969,6.527200031280517,692612000
2011,24,9.322499847412109,9.360899925231934,530024000
2011,28,10.605299949645996,10.727400016784667,404488000
2012,34,12.098399925231934,12.054699897766113,261756000
2021,27,185.28837203979492,182.66962432861328,420034000
2021,51,169.90037536621094,168.59962463378906,205152000
2022,38,119.29600067138672,120.21600036621093,273832900
2002,6,0.590499997138977,0.5955000042915344,1111378000
2004,48,1.9275000095367432,1.9305000305175781,491056000
2001,4,0.9782811999320984,0.9768750071525574,703040000
2012,22,10.563875198364258,10.554500102996826,313352000
2017,36,48.480499267578125,48.71025085449219,203704000
2010,4,6.139799976348877,6.178899955749512,1862252000
2002,10,0.8075000047683716,0.7890000104904175,1114154000
1997,22,0.0764975007623434,0.07721349969506264,386784000
1999,17,4.7343751907348635,4.877187633514405,2226780000
2000,2,3.296875,3.390000009536743,1067936000
2000,33,1.8831249952316285,1.8293749809265136,737856000
2002,18,0.8173000097274781,0.8208999991416931,650346000
2003,19,1.5295000076293945,1.5082000017166137,998914000
2004,42,1.9799999713897705,1.9953999996185303,816026000
2006,26,1.871500015258789,1.8536999940872192,491244000
2007,31,3.9506000518798827,4.021999979019165,1244544000
2010,10,6.548399925231934,6.516499996185303,613880000
2012,51,12.906699943542481,12.818600082397461,336544000
2013,29,15.314699935913087,15.32199993133545,259448000
2015,6,18.409399795532227,18.095899963378905,635088000
2015,46,32.96370010375976,33.0947998046875,469428000
2016,5,26.963699722290038,27.559299850463866,772476000
2016,31,38.09710006713867,37.99250030517578,332912000
2018,2,63.3577995300293,62.71179962158203,383910000
2018,15,71.4863998413086,71.8510009765625,377302000
2023,7,99.15,98.47200012207031,273370600
2023,43,124.76399841308594,125.047998046875,395043700
2024,31,180.77200012207032,181.92999877929688,326330000
1999,9,3.097187614440918,3.173125219345093,1631292000
1999,32,2.2831252098083494,2.2762500286102294,1716340000
2000,11,3.2574999809265135,3.231249952316284,630478000
2002,24,0.8577000021934509,0.8639999985694885,736010000
2008,18,3.9800999641418455,4.016600036621094,818918000
2008,24,3.916499948501587,3.934600067138672,613126000
2011,40,10.902300071716308,10.81919994354248,709556000
2015,12,18.72140007019043,18.616200256347657,254490000
2015,17,20.055799865722655,19.909800338745118,765824000
2016,40,41.96220016479492,42.04400100708008,285980000
2018,1,63.33910064697265,62.936100006103516,386492000
2020,52,159.6332550048828,160.02187728881836,195038000
2022,28,111.11000061035156,111.20200042724609,304602600
2022,49,89.43199920654297,90.00599975585938,355830400
2025,33,225.8679992675781,225.197998046875,206535300
1997,31,0.12062499970197678,0.11875000149011612,298968000
1998,23,0.36145839691162107,0.36531259417533873,624984000
2000,21,2.391249990463257,2.456875038146973,686342000
2001,18,0.8408999919891358,0.8184999942779541,599598000
2004,23,2.5116249322891235,2.478250026702881,926816000
2005,11,1.7078000068664552,1.7085999965667724,520536000
2005,51,2.43919997215271,2.4373000144958494,575894000
2006,44,1.8871000051498412,1.893400001525879,606662000
2007,16,2.2485000133514403,2.235499954223633,732590000
2007,39,4.660299968719483,4.641700077056885,490376000
2012,48,12.37450008392334,12.244900131225586,381562000
2014,26,16.290999984741212,16.295700073242188,253498000
